ID,Name,Filename_TZVP,Extension_TZVP,DBIDRef_TZVP,Conformers_TZVP,Extension_TZVP-Fine,DBIDRef_TZVP-Fine,Conformers_TZVP-Fine,CAS,MP,BP,Density,Mol. Wt.,rhoc,c1,c2,c3,c4,c5,c6,Tc
115,Triglyme [Triethyleneglycol dimethyl ether],Triethyleneglycol_dimethyl_ether,cosmo,2,6,cosmo,5,6,112-49-2,-43.8,216,0.98,178.226,NA,NA,NA,NA,NA,NA,NA,NA
116,Water,h2o,cosmo,1,1,cosmo,4,1,7732-18-5,0,100,1,18.015,17.03578,46.5286,-0.5644133,38.54903,-64.34746,0,0,647.1081
117,"N,N-Dimethylaniline","n,n-dimethylaniline",cosmo,1,1,cosmo,4,1,121-69-7,2,193,0.952,121.18,NA,NA,NA,NA,NA,NA,NA,NA
118,Methylcyclohexane,methylcyclohexane,cosmo,1,2,cosmo,4,2,108-87-2,-126.6,100.9,0.765,98.186,NA,NA,NA,NA,NA,NA,NA,NA
119,"DMPU [1,3-dimethyltetrahydropyrimidin-2(1H)-one]",DMPU,cosmo,2,1,cosmo,5,1,7226-23-5,-23,244.6,1.056,128.172,NA,NA,NA,NA,NA,NA,NA,NA
120,"DMI [1,3-dimethylimidazolidin-2-one]",DMI,cosmo,2,1,cosmo,5,1,80-73-9,8,225,1.058,114.146,NA,NA,NA,NA,NA,NA,NA,NA
121,NEP [1-Ethylpyrrolidin-2-one],NEP,cosmo,2,1,cosmo,5,1,2687-91-4,,97,0.992,113.158,NA,NA,NA,NA,NA,NA,NA,NA
122,TAME [tert-amyl methyl ether],TAME,cosmo,2,2,cosmo,5,2,994-05-8,-80,86.3,0.766,102.175,NA,NA,NA,NA,NA,NA,NA,NA
123,"1,3-Dioxolane","1,3-Dioxolane",cosmo,2,1,cosmo,5,1,646-06-0,,75.6,1.059,74.079,NA,NA,NA,NA,NA,NA,NA,NA
124,Ethyl Lactate,Ethyl_Lactate,cosmo,2,5,cosmo,5,5,97-64-3,-26,154,1.027,118.131,NA,NA,NA,NA,NA,NA,NA,NA
125,"1,2-Dimethoxypropane","1,2-Dimethoxypropane",cosmo,2,5,cosmo,5,5,7778-85-0,,96,0.855,104.148,NA,NA,NA,NA,NA,NA,NA,NA
126,1-Methoxypropan-2-ol,1-Methoxy-2-propanol,cosmo,2,10,cosmo,5,10,107-98-2,-96.7,120.6,0.92,90.121,NA,NA,NA,NA,NA,NA,NA,NA
127,"Propylene Carbonate [4-Methyl-1,3-dioxolan-2-one]","1,2-Propylene_carbonate",cosmo,2,1,cosmo,5,1,108-32-7,-54.5,241.7,1.199,102.089,NA,NA,NA,NA,NA,NA,NA,NA
128,Dimethyl Carbonate,Dimethylcarbonate,cosmo,2,2,cosmo,5,2,616-38-6,4,90.3,1.063,90.078,NA,NA,NA,NA,NA,NA,NA,NA
129,DMI [Dimethyl isosorbide],Dimethoxyisobide,cosmo,2,6,cosmo,5,6,5306-85-4,-70,393,1.165,174.194,NA,NA,NA,NA,NA,NA,NA,NA
130,Tetramethoxymethane,Tetramethoxymethane,cosmo,2,4,cosmo,5,4,1850-14-2,-5,114,1.023,136.146,NA,NA,NA,NA,NA,NA,NA,NA
131,"2,2,2-Trifluoroethanol","2,2,2-Trifluoroethanol",cosmo,2,2,cosmo,5,2,75-89-8,-45,74,1.391,100.04,NA,NA,NA,NA,NA,NA,NA,NA
132,"3,5,5-Trimethylcyclohex-2-enone [Isophorone]",isophorone,cosmo,1,1,cosmo,4,1,78-59-1,-8.1,215.3,0.92,138.207,NA,NA,NA,NA,NA,NA,NA,NA
133,2-Methylcyclohexanone,2-Methylcyclohexanone,cosmo,2,1,cosmo,5,1,583-60-8,-14,162,0.925,112.17,NA,NA,NA,NA,NA,NA,NA,NA
134,2-Ethoxyethyl Acetate,2-Ethoxyethyl_acetate,cosmo,2,9,cosmo,5,9,111-15-9,-61.7,156.3,0.97,132.158,NA,NA,NA,NA,NA,NA,NA,NA
135,"Ethyl 3-oxobutanoate [Ethyl acetoacetate, EAA]",Ethyl_acetoacetate,cosmo,2,4,cosmo,5,4,141-97-9,-39,180.9,1.02,130.142,NA,NA,NA,NA,NA,NA,NA,NA
136,2-Methylpyridine [2-Picoline],2-methylpyridine,cosmo,1,1,cosmo,4,1,109-06-8,-66.7,129.4,0.94,93.127,NA,NA,NA,NA,NA,NA,NA,NA
137,"2,6-Dimethylpyridine [2,6-Lutidine]","2,6-Dimethylpyridine",cosmo,2,1,cosmo,5,1,108-48-5,-6.2,144.1,0.918,107.153,NA,NA,NA,NA,NA,NA,NA,NA
138,Triethanolamine,triethanolamine,cosmo,1,9,cosmo,4,9,102-71-6,21.2,335.4,1.12,149.188,NA,NA,NA,NA,NA,NA,NA,NA
139,"1,3-Dithiolane","1,3-Dithiolane",cosmo,2,1,cosmo,5,1,03/04/4829,,183,1.235,106.21,NA,NA,NA,NA,NA,NA,NA,NA
140,Dimethyl Sulfite,Dimethyl_sulfite,cosmo,2,3,cosmo,5,3,616-42-2,,126.5,1.207,110.132,NA,NA,NA,NA,NA,NA,NA,NA
141,"1,3,2-Dioxathiolane-2-oxide","1,3,2-Dioxathiolane-2-oxide",cosmo,2,1,cosmo,5,1,3741-38-6,,159,1.429,108.116,NA,NA,NA,NA,NA,NA,NA,NA
142,Perfluorobenzene,hexafluorobenzene,cosmo,1,1,cosmo,4,1,392-56-3,5.1,80.3,1.607,186.055,NA,NA,NA,NA,NA,NA,NA,NA
143,"1,2,3,4,5-Pentafluoro-6-(trifluoromethyl)benzene [Perfluorotoluene]",perfluorotoluene,cosmo,2,1,cosmo,5,1,434-64-0,-66,104,1.666,236.062,NA,NA,NA,NA,NA,NA,NA,NA
144,Perfluorodecalin,Perfluorodecalin,cosmo,2,1,cosmo,5,1,60433-11-6,-10,142,1.937,462.078,NA,NA,NA,NA,NA,NA,NA,NA
145,p-Cymene,p-Cymene,cosmo,2,1,cosmo,5,1,99-87-6,-67.9,177.1,0.86,134.218,NA,NA,NA,NA,NA,NA,NA,NA
146,"1,3-Dichlorobenzene","1,3-dichlorobenzene",cosmo,1,1,cosmo,4,1,541-73-1,-24.8,171.2,1.283,147.002,NA,NA,NA,NA,NA,NA,NA,NA
147,Tetrahydrothiophene 1-oxide,Tetrahydrothiophene_1-oxide,cosmo,2,1,cosmo,5,1,1600-44-8,,236,1.168,104.171,NA,NA,NA,NA,NA,NA,NA,NA
148,"2,2,2-Trifluoroacetic Acid [TFA]",trifluoroaceticacid,cosmo,1,2,cosmo,4,2,76-05-1,-15.4,71.8,1.54,114.023,NA,NA,NA,NA,NA,NA,NA,NA
149,"2,2,2-trifluoroacetic Anhydride [TFAA]",Trifluoroacetic_anhydride,cosmo,2,2,cosmo,5,2,407-25-0,-65,39.5,1.503,210.031,NA,NA,NA,NA,NA,NA,NA,NA
150,"1,1,1,3,3,3-Hexafluoropropan-2-ol","1,1,1,3,3,3-Hexafluoropropan-2-ol",cosmo,2,2,cosmo,5,2,920-66-1,-4,57.5,1.596,168.038,NA,NA,NA,NA,NA,NA,NA,NA
151,1-Methylazepan-2-one [N-Methylcaprolactam],N-Methylcaprolactam,cosmo,2,1,cosmo,5,1,2556-73-2,,107,1.013,127.184,NA,NA,NA,NA,NA,NA,NA,NA
152,Tetraethylsulfamide [TES],Tetraethylsulfamide,cosmo,2,1,cosmo,5,1,2832-49-7,,250,1.037,208.322,NA,NA,NA,NA,NA,NA,NA,NA
153,Pentamethyl Phosphonic Diamide,Pentamethyl_phosphonic_diamide,cosmo,2,2,cosmo,5,2,2511-17-3,,76,1.024,150.159,NA,NA,NA,NA,NA,NA,NA,NA
154,"2,2-Dimethoxypropane","2,2-Dimethoxypropane",cosmo,2,3,cosmo,5,3,77-76-9,-47,81,0.848,104.148,NA,NA,NA,NA,NA,NA,NA,NA
155,"(2,2-Dimethyl-1,3-dioxolan-4-yl)methanol","2,2-Dimethyl-1,3-dioxolan-4-yl_methanol",cosmo,2,7,cosmo,5,7,100-79-8,-27,189,1.064,132.158,NA,NA,NA,NA,NA,NA,NA,NA
156,1-Methyl-4-(prop-1-en-2-yl)cyclohex-1-ene [D-Limonene],Limonene,cosmo,2,1,cosmo,5,1,5989-27-5,-74.2,176.5,0.84,136.234,NA,NA,NA,NA,NA,NA,NA,NA
157,5-Methyldihydrofuran-2(3H)-one [gamma-valerolactone],gamma-valerolactone,cosmo,2,1,cosmo,5,1,108-29-2,-31,207.5,1.103,100.116,NA,NA,NA,NA,NA,NA,NA,NA
158,"1,8-Diazabicycloundec-7-ene [DBU]",DBU,cosmo,2,2,cosmo,5,2,6674-22-2,-70,261,1.018,152.237,NA,NA,NA,NA,NA,NA,NA,NA
159,"N-Ethyl-N-isopropylpropan-2-amine [Diispropylethylamine, Hunig's Base]",Hunigs_Base,cosmo,2,2,cosmo,5,2,7087-68-5,-50,126.5,0.747,129.243,NA,NA,NA,NA,NA,NA,NA,NA
160,"(E)-1,2-Dichloroethene","cis-1,2-dichloroethene",cosmo,1,1,cosmo,4,1,156-59-2,-81.5,60.2,1.276,96.943,NA,NA,NA,NA,NA,NA,NA,NA
161,"(Z)-1,2-Dichloroethene","trans-1,2-dichloroethene",cosmo,1,1,cosmo,4,1,156-60-5,-49.4,47.7,1.246,96.943,NA,NA,NA,NA,NA,NA,NA,NA
162,2-Ethoxyethanol,ethoxyethanol,cosmo,1,9,cosmo,4,9,110-80-5,-90,135.6,0.93,90.121,NA,NA,NA,NA,NA,NA,NA,NA
163,"Hexan-2-one [Methylbutylketone, MBK]",2-hexanone,cosmo,1,1,cosmo,4,1,591-78-6,-55.8,127.5,0.807,100.159,NA,NA,NA,NA,NA,NA,NA,NA
164,Methyl Formate,methylformate,cosmo,1,1,cosmo,4,1,107-31-3,-99,31.5,0.967,60.052,NA,NA,NA,NA,NA,NA,NA,NA
165,Ethyl Formate,ethylformate,cosmo,1,2,cosmo,4,2,109-94-4,-76.9,54.2,0.915,74.079,NA,NA,NA,NA,NA,NA,NA,NA
166,Propyl Formate,n-propylformate,cosmo,1,2,cosmo,4,2,110-74-7,-92.9,80.8,0.9,88.105,NA,NA,NA,NA,NA,NA,NA,NA
167,Butyl Formate,Butyl_formate,cosmo,2,2,cosmo,5,2,592-84-7,-91.9,106.1,0.89,102.132,NA,NA,NA,NA,NA,NA,NA,NA
168,Dimethyl Adipate,Dimethyl_adipate,cosmo,2,1,cosmo,5,1,627-93-0,8,109.5,1.063,174.194,NA,NA,NA,NA,NA,NA,NA,NA
169,Isopentyl Acetate [Isoamyl acetate],Isoamyl_acetate,cosmo,2,2,cosmo,5,2,123-92-2,-78.5,142.1,0.866,130.185,NA,NA,NA,NA,NA,NA,NA,NA
170,Hexyl Acetate,Hexyl_acetate,cosmo,2,1,cosmo,5,1,142-92-7,-80.9,171.6,0.87,144.211,NA,NA,NA,NA,NA,NA,NA,NA
171,"Ethane-1,2-diyl diacetate [Ethylene glycol diacetate]",Ethylene_glycol_diacetate,cosmo,2,8,cosmo,5,8,111-55-7,-31,190.5,1.1,146.141,NA,NA,NA,NA,NA,NA,NA,NA
172,Dihydrofuran-2(3H)-one [Butyrolactone],butyrolactone,cosmo,2,1,cosmo,5,1,96-48-0,-43.4,204.4,1.125,86.089,NA,NA,NA,NA,NA,NA,NA,NA
173,Trimethoxymethane [Trimethyl orthoformate],Trimethyl_orthoformate,cosmo,2,4,cosmo,5,4,149-73-5,-53,101.5,0.963,106.12,NA,NA,NA,NA,NA,NA,NA,NA
174,Triethoxymethane [Triethyl orthoformate],Triethyl_orthoformate,cosmo,2,4,cosmo,5,4,122-51-0,-61,145,0.891,148.2,NA,NA,NA,NA,NA,NA,NA,NA
175,"2,2-Dimethyl-1,3-dioxolane","2,2-Dimethyl-1,3-dioxolane",cosmo,2,1,cosmo,5,1,2916-31-6,,92,0.946,102.132,NA,NA,NA,NA,NA,NA,NA,NA
176,"Pentane-2,4-dione [Acetylacetone]",acetylacetone,cosmo,1,2,cosmo,4,2,123-54-6,-23.2,140.4,0.972,100.116,NA,NA,NA,NA,NA,NA,NA,NA
177,Ethylcyclohexane,Ethylcyclohexane,cosmo,2,1,cosmo,5,1,1678-91-7,-111.3,129.9,0.78,112.213,NA,NA,NA,NA,NA,NA,NA,NA
178,Hexanenitrile,hexanenitrile,cosmo,1,1,cosmo,4,1,628-73-9,-80.3,163.6,0.801,97.158,NA,NA,NA,NA,NA,NA,NA,NA
179,n-Pentyl Acetate,n-pentylacetate,cosmo,1,2,cosmo,4,2,628-63-7,-70.8,146,0.88,130.185,NA,NA,NA,NA,NA,NA,NA,NA
180,Methyl Propionate,methylpropionate,cosmo,1,1,cosmo,4,1,554-12-1,-87.5,80,0.908,88.105,NA,NA,NA,NA,NA,NA,NA,NA
181,Methyl Butyrate,methylbutyrate,cosmo,1,1,cosmo,4,1,623-42-7,-85.8,102.8,0.891,102.132,NA,NA,NA,NA,NA,NA,NA,NA
182,5-Nonanone,5-nonanone,cosmo,1,1,cosmo,4,1,502-56-7,-4.8,188.5,0.818,142.239,NA,NA,NA,NA,NA,NA,NA,NA
