ID,Name,Filename_TZVP,Extension_TZVP,DBIDRef_TZVP,Conformers_TZVP,Extension_TZVP-Fine,DBIDRef_TZVP-Fine,Conformers_TZVP-Fine,CAS,MP,BP,Density,Mol. Wt.,rhoc,c1,c2,c3,c4,c5,c6,Tc
223,Nitroethane,nitroethane,cosmo,1,2,cosmo,4,2,79-24-3,-89.5,114,1.045,75.067,NA,NA,NA,NA,NA,NA,NA,NA
224,"1,1,2-Trichloroethane","1,1,2-trichloroethane",cosmo,1,2,cosmo,4,2,79-00-5,-35.5,113.8,1.432,133.404,NA,NA,NA,NA,NA,NA,NA,NA
225,2-Methyl-1-propanamine [Isobutylamine],2-methyl-1-propanamine,cosmo,1,2,cosmo,4,2,78-81-9,-84.6,67.7,0.73,73.137,NA,NA,NA,NA,NA,NA,NA,NA
226,Pentachloroethane,pentachloroethane,cosmo,1,1,cosmo,4,1,76-01-7,-29,159.9,1.673,202.294,NA,NA,NA,NA,NA,NA,NA,NA
227,2-Amino-2-methylpropane [tert-Butylamine],2-amino-2-methylpropane,cosmo,1,2,cosmo,4,2,75-64-9,-67,44.4,0.69,73.137,NA,NA,NA,NA,NA,NA,NA,NA
228,Isopropylamine,isopropylamine,cosmo,1,1,cosmo,4,1,75-31-0,-95.2,32.4,0.68,59.11,NA,NA,NA,NA,NA,NA,NA,NA
229,Propylene Glycol,Propyleneglycol,cosmo,2,9,cosmo,5,9,57-55-6,-60,187.3,1.03,76.094,NA,NA,NA,NA,NA,NA,NA,NA
230,Tetrahydropyran,Tetrahydropyran,cosmo,2,1,cosmo,5,1,142-68-7,-49,88,0.882,86.132,NA,NA,NA,NA,NA,NA,NA,NA
231,"1,2-Diacetoxypropane","Propylene_Glycol_1,2-Diacetate",cosmo,2,7,cosmo,5,7,623-84-7,-31,186,1.06,160.168,NA,NA,NA,NA,NA,NA,NA,NA
232,2-Methoxy-1-[(1-methoxy-2-propanyl)oxy]propane [Propylene Glycol Dimethyl Ether],Propylene_Glycol_Dimethyl_Ether,cosmo,2,7,cosmo,5,7,111109-77-4,,,0.953,162.227,NA,NA,NA,NA,NA,NA,NA,NA
233,Dihydrolevoglucosenone (Cyrene),Cyrene,cosmo,2,1,cosmo,5,1,1087696-49-8,-18,203,1.25,128.126,NA,NA,NA,NA,NA,NA,NA,NA
234,(Trifluoromethoxy)benzene [Trifluoromethylphenyl ether],Trifluoromethylphenyl_ether,cosmo,2,1,cosmo,5,1,22699-70-3,,103,1.226,162.109,NA,NA,NA,NA,NA,NA,NA,NA
235,N-methylmorpholine [NNM],N-Methylmorpholine,cosmo,2,2,cosmo,5,2,109-02-4,-65,117,0.92,101.147,NA,NA,NA,NA,NA,NA,NA,NA
236,4-Methylcyclohexanemethanol [MCHM],cis-4-Methylcyclohexyl_methanol,cosmo,2,7,cosmo,5,7,34885-03-5,,202,0.907,128.212,NA,NA,NA,NA,NA,NA,NA,NA
237,Hexamethyldisiloxane [M2],Hexamethyldisiloxane,cosmo,2,2,cosmo,5,2,107-46-0,-68,100.5,0.76,162.378,NA,NA,NA,NA,NA,NA,NA,NA
238,Octamethyltrisiloxane [MDM],Octamethyltrisiloxane,cosmo,2,2,cosmo,5,2,107-51-7,-82,153,0.82,236.531,NA,NA,NA,NA,NA,NA,NA,NA
239,Decamethyltetrasiloxane [MD2M],Decamethyltetrasiloxane,cosmo,2,4,cosmo,5,4,141-62-8,-68,194,0.854,310.685,NA,NA,NA,NA,NA,NA,NA,NA
240,Octamethylcyclotetrasiloxane [D4],Octamethylcyclotetrasiloxane,cosmo,2,2,cosmo,5,2,104986-37-0,17.7,175,0.95,296.616,NA,NA,NA,NA,NA,NA,NA,NA
241,Decamethylcyclopentasiloxane [D5],Decamethylcyclopentasiloxane,cosmo,2,3,cosmo,5,3,541-02-6,-38,370.8,0.95,370.77,NA,NA,NA,NA,NA,NA,NA,NA
242,Butyl Carbitol [2-[2-(Butyloxy)ethoxy]ethanol],Butyl_Carbitol,cosmo,2,10,cosmo,5,10,112-34-5,-68,230,0.952,162.227,NA,NA,NA,NA,NA,NA,NA,NA
243,Hexyl Carbitol [2-[2-(Hexyloxy)ethoxy]ethanol],Hexyl_Carbitol,cosmo,2,10,cosmo,5,10,112-59-4,-34,254,0.932,190.28,NA,NA,NA,NA,NA,NA,NA,NA
244,Methyl Carbitol [2-[2-(Methoxy)ethoxy]ethanol],Methyl_Carbitol,cosmo,2,10,cosmo,5,10,111-77-3,-69,194,1.022,120.147,NA,NA,NA,NA,NA,NA,NA,NA
245,Carbitol [2-(2-ethoxyethoxy)ethanol],Carbitol,cosmo,2,9,cosmo,5,9,111-90-0,-43,201,0.989,134.174,NA,NA,NA,NA,NA,NA,NA,NA
246,Butyl Carbitol Acetate [2-(2-Butoxyethoxy)ethyl acetate],Butyl_Carbitol_Acetate,cosmo,2,6,cosmo,5,6,124-17-4,-32,246.7,0.977,204.263,NA,NA,NA,NA,NA,NA,NA,NA
247,Propyl Cellosolve [2-Propoxyethanol],Propyl_Cellosolve,cosmo,2,10,cosmo,5,10,2807-30-9,-90,150,0.913,104.148,NA,NA,NA,NA,NA,NA,NA,NA
248,Butyl Cellosolve Acetate,Butyl_Cellosolve_Acetate,cosmo,2,7,cosmo,5,7,112-07-2,-64,191.7,0.942,160.211,NA,NA,NA,NA,NA,NA,NA,NA
249,Butyl Cellosolve [Ethylene glycol monobutyl ether],Butyl_Cellosolve,cosmo,2,10,cosmo,5,10,111-76-2,-77,171,0.902,118.174,NA,NA,NA,NA,NA,NA,NA,NA
250,DPnP Glycol Ether [1-(1-propoxypropan-2-yloxy)propan-2-ol],DPnP_Glycol_Ester_Isomer01,cosmo,2,9,cosmo,5,9,29911-27-1,-75,213,0.911,176.253,NA,NA,NA,NA,NA,NA,NA,NA
251,EPh Glycol Ether [2-phenoxyethanol],EPh_Glycol_Ether,cosmo,2,9,cosmo,5,9,122-99-6,15,244,1.11,138.164,NA,NA,NA,NA,NA,NA,NA,NA
252,PMA Glycol Ether [1-methoxy-2-propanol acetate],PMA_Glycol_Ether,cosmo,2,10,cosmo,5,10,108-65-6,-66,146,0.968,132.158,NA,NA,NA,NA,NA,NA,NA,NA
253,PGDA Glycol Ether [Propylene glycol diacetate],PGDA_Glycol_Ether,cosmo,2,4,cosmo,5,4,623-84-7,-75,190,1.056,160.168,NA,NA,NA,NA,NA,NA,NA,NA
254,PM Glycol Ether [1-Methoxy-2-propanol],PM_Glycol_Ether,cosmo,2,6,cosmo,5,6,107-98-2,-97,120,0.921,90.121,NA,NA,NA,NA,NA,NA,NA,NA
255,PnB Glycol Ether [3-Butoxypropan-2-ol],PnB_Glycol_Ether,cosmo,2,9,cosmo,5,9,5131-66-8,-80,171,0.879,132.201,NA,NA,NA,NA,NA,NA,NA,NA
256,PnP Glycol Ether [1-Propoxy-2-propanol],PnP_Glycol_Ether,cosmo,2,10,cosmo,5,10,1569-01-3,-80,149,0.885,118.174,NA,NA,NA,NA,NA,NA,NA,NA
257,PPh Glycol Ether [Propylene glycol phenyl ether],PPh_Glycol_Ether,cosmo,2,9,cosmo,5,9,770-35-4,19,243,1.063,152.19,NA,NA,NA,NA,NA,NA,NA,NA
258,TPM Glycol Ether [Tripropylene glycol methyl ether],TPM_Glycol_Ether_Isomer01,cosmo,2,10,cosmo,5,10,25498-49-1,-78,243,0.966,206.279,NA,NA,NA,NA,NA,NA,NA,NA
259,TPnB Glycol Ether [Tripropylene glycol n-butyl ether],TPnB_Glycol_Ether_Isomer01,cosmo,2,10,cosmo,5,10,55934-93-5,-75,274,0.93,248.359,NA,NA,NA,NA,NA,NA,NA,NA
260,DPM Glycol Ether [Dipropylene glycol methyl ether],DPM_Glycol_Ether,cosmo,2,10,cosmo,5,10,34590-94-8,-83,190,0.953,148.2,NA,NA,NA,NA,NA,NA,NA,NA
261,DPMA Glycol Ether [Dipropylene glycol methyl ether acetate],DPMA_Glycol_Ether_Isomer01,cosmo,2,7,cosmo,5,7,88917-22-0,-25,209,0.979,190.237,NA,NA,NA,NA,NA,NA,NA,NA
262,DPnB Glycol Ether [Dipropylene glycol n-butyl ether],DPnB_Glycol_Ether_Isomer01,cosmo,2,10,cosmo,5,10,29911-28-2,-75,230,0.911,190.28,NA,NA,NA,NA,NA,NA,NA,NA
263,2-Ethylhexanol,2-Ethylhexanol,cosmo,2,7,cosmo,5,7,104-76-7,-70,184.6,0.692,130.228,NA,NA,NA,NA,NA,NA,NA,NA
264,2-Methyl Butanol,2-Methyl_Butanol,cosmo,2,6,cosmo,5,6,137-32-6,,128.7,0.681,88.148,NA,NA,NA,NA,NA,NA,NA,NA
265,Methyl Isobutyl Carbinol,Methyl_Isobutyl_Carbinol,cosmo,2,7,cosmo,5,7,108-11-2,,131.7,0.671,102.175,NA,NA,NA,NA,NA,NA,NA,NA
266,n-Propyl Propionate,n-Propyl_Propionate,cosmo,2,10,cosmo,5,10,106-36-5,-75.9,122.4,0.732,116.158,NA,NA,NA,NA,NA,NA,NA,NA
267,Ethyl 3-Ethoxypropionate,Ethyl_3-Ethoxypropionate,cosmo,2,2,cosmo,5,2,763-69-9,,169.7,0.789,146.184,NA,NA,NA,NA,NA,NA,NA,NA
268,"2,2,4-Trimethyl-1,3-pentanediol 1-isobutyrate","2,2,4-Trimethyl-1,3-pentanediol_1-isobutyrate",cosmo,2,2,cosmo,5,2,25265-77-4,,255,0.787,216.317,NA,NA,NA,NA,NA,NA,NA,NA
269,n-Pentyl Propionate,n-Pentyl_Propionate,cosmo,2,2,cosmo,5,2,624-54-4,,165,0.726,144.211,NA,NA,NA,NA,NA,NA,NA,NA
270,"Butoxytriglycol [3,6,9-Trioxatridecan-1-ol]",Butoxytriglycol,cosmo,2,9,cosmo,5,9,143-22-6,-39,283,0.822,206.279,NA,NA,NA,NA,NA,NA,NA,NA
271,Dipropylene Glycol Dimethyl Ether,Dipropylene_Glycol_Dimethyl_Ether_Isomer01,cosmo,2,6,cosmo,5,6,111109-77-4,-71,175,0.903,162.227,NA,NA,NA,NA,NA,NA,NA,NA
272,"Triacetin [1,2,3-triacetoxypropane]",Triacetin,cosmo,2,9,cosmo,5,9,102-76-1,4.1,258,1.155,218.204,NA,NA,NA,NA,NA,NA,NA,NA
